eph_aglome,codprov,coddepto,localidade,anio,Nacidos Vivos,Totales,Menores de 1,Neonatales,Posneonatales,1 a 4,5 a 14,15 a 24,25 a 34,35 a 44,45 a 54,55 a 64,65 a 74,75 y mas,Muertes Maternas
CABA,02,001,CABA Comuna 01,2014,3245,2052,16,13,3,4,3,13,41,52,86,218,363,1255,1
CABA,02,001,CABA Comuna 01,2015,3254,2001,24,19,5,5,13,15,43,47,95,203,336,1220,0
CABA,02,001,CABA Comuna 01,2016,3099,2109,29,23,6,6,8,21,31,58,88,209,369,1290,1
CABA,02,001,CABA Comuna 01,2017,2842,1925,15,12,3,5,3,16,47,36,85,172,334,1212,0
CABA,02,001,CABA Comuna 01,2018,2829,1880,18,10,8,5,3,26,36,61,85,202,317,1127,1
CABA,02,002,CABA Comuna 02,2014,1825,1689,18,14,4,2,5,4,14,24,42,142,254,1182,0
CABA,02,002,CABA Comuna 02,2015,1755,1704,7,6,1,3,3,5,13,17,48,127,241,1240,0
CABA,02,002,CABA Comuna 02,2016,1691,1755,6,6,0,0,3,8,4,17,53,91,254,1319,0
CABA,02,002,CABA Comuna 02,2017,1595,1679,5,3,2,0,2,2,10,12,32,98,233,1285,0
CABA,02,002,CABA Comuna 02,2018,1598,1548,9,8,1,0,1,2,10,12,27,96,239,1152,0
CABA,02,003,CABA Comuna 03,2014,2752,2009,25,17,8,3,1,12,20,34,87,173,332,1322,0
CABA,02,003,CABA Comuna 03,2015,2549,1961,14,12,2,3,2,6,32,46,82,167,342,1267,0
CABA,02,003,CABA Comuna 03,2016,2476,2092,19,16,3,4,3,11,25,52,75,191,358,1354,0
CABA,02,003,CABA Comuna 03,2017,2244,2007,17,9,8,2,5,11,18,49,80,179,324,1322,0
CABA,02,003,CABA Comuna 03,2018,2184,1844,10,7,3,3,2,12,30,46,86,153,328,1174,0
CABA,02,004,CABA Comuna 04,2014,4112,2087,50,37,13,2,7,23,50,63,100,242,352,1196,0
CABA,02,004,CABA Comuna 04,2015,3985,1969,28,16,12,2,5,28,33,47,96,243,365,1121,2
CABA,02,004,CABA Comuna 04,2016,3580,2178,42,34,8,9,5,22,44,55,108,244,394,1255,0
CABA,02,004,CABA Comuna 04,2017,3270,2053,24,15,9,9,12,25,32,46,92,223,358,1232,0
CABA,02,004,CABA Comuna 04,2018,3314,2017,23,18,5,4,9,20,31,52,117,195,395,1170,2
CABA,02,005,CABA Comuna 05,2014,2221,1877,15,11,4,1,5,10,16,37,65,170,303,1255,0
CABA,02,005,CABA Comuna 05,2015,2081,1921,14,11,3,1,3,13,20,27,57,152,313,1321,0
CABA,02,005,CABA Comuna 05,2016,2152,1886,18,15,3,3,2,14,10,27,59,140,283,1330,1
CABA,02,005,CABA Comuna 05,2017,1781,1975,14,11,3,1,3,6,19,26,60,158,335,1353,0
CABA,02,005,CABA Comuna 05,2018,1745,1808,6,3,3,4,1,6,18,35,57,145,322,1214,0
CABA,02,006,CABA Comuna 06,2014,2244,1862,16,13,3,0,2,3,13,35,60,160,304,1269,0
CABA,02,006,CABA Comuna 06,2015,2086,1843,12,8,4,2,4,11,19,24,54,161,296,1259,1
CABA,02,006,CABA Comuna 06,2016,2078,1901,5,5,0,1,2,4,12,29,48,137,317,1346,0
CABA,02,006,CABA Comuna 06,2017,1886,1883,11,9,2,3,3,4,12,20,60,158,273,1339,1
CABA,02,006,CABA Comuna 06,2018,1764,1776,12,11,1,0,1,4,14,23,59,123,266,1274,0
CABA,02,007,CABA Comuna 07,2014,3846,2305,31,20,11,3,5,27,31,39,91,236,326,1516,1
CABA,02,007,CABA Comuna 07,2015,3702,2203,22,16,6,5,5,24,31,48,93,226,320,1428,1
CABA,02,007,CABA Comuna 07,2016,3363,2329,28,21,7,2,5,21,32,62,86,231,390,1472,0
CABA,02,007,CABA Comuna 07,2017,3054,2244,22,17,5,2,6,19,42,52,84,196,366,1455,0
CABA,02,007,CABA Comuna 07,2018,2983,2129,12,10,2,7,8,15,22,50,91,209,374,1341,1
CABA,02,008,CABA Comuna 08,2014,4210,1531,51,32,19,5,7,45,44,61,98,175,241,804,1
CABA,02,008,CABA Comuna 08,2015,4002,1484,30,26,4,4,7,29,30,48,91,189,272,784,1
CABA,02,008,CABA Comuna 08,2016,3564,1620,34,20,14,2,5,43,32,69,93,192,313,837,3
CABA,02,008,CABA Comuna 08,2017,3230,1579,28,20,8,1,9,20,29,54,95,189,312,842,0
CABA,02,008,CABA Comuna 08,2018,3138,1389,24,16,8,6,5,30,32,42,98,156,254,742,1
CABA,02,009,CABA Comuna 09,2014,2436,1838,16,12,4,4,3,12,16,36,77,213,301,1159,0
CABA,02,009,CABA Comuna 09,2015,2441,1779,16,9,7,1,2,14,16,44,85,168,312,1121,0
CABA,02,009,CABA Comuna 09,2016,2157,1924,20,13,7,1,2,12,17,25,88,170,333,1256,0
CABA,02,009,CABA Comuna 09,2017,1910,1852,10,7,3,4,0,11,20,28,77,182,341,1179,0
