RADIO,PERSONAS,decil_NSE
020010101,336,2
020010201,478,1
020010202,401,1
020010203,337,1
020010204,602,1
020010205,307,1
020010206,732,1
020010207,438,1
020010208,486,1
020010209,511,1
020010210,327,1
020010211,611,1
020010212,1225,1
020010213,476,1
020010214,688,1
020010215,757,1
020010216,1128,1
020010217,712,1
020010218,480,1
020010219,547,1
020010301,594,1
020010302,564,1
020010303,659,1
020010304,428,1
020010305,1283,1
020010306,1027,1
020010307,403,1
020010308,797,1
020010309,1092,1
020010310,745,1
020010311,745,1
020010312,561,1
020010313,381,1
020010314,471,1
020010315,843,1
020010316,726,1
020010317,571,1
020010318,783,1
020010319,1017,1
020010320,397,1
020010321,300,1
020010322,670,1
020010323,837,1
020010401,1472,6
020010402,1299,9
020010403,1189,8
020010404,1545,10
020010405,1069,9
020010406,1271,9
020010407,1393,8
020010408,1128,6
020010501,631,10
020010502,533,10
020010503,928,10
020010504,1200,8
020010505,637,9
020010506,888,9
020010507,597,9
020010601,948,10
020010602,641,10
020010603,1160,10
020010604,789,10
020010605,332,10
020010606,569,9
020010607,498,10
020010608,730,10
020010609,1046,10
020010610,415,10
020010701,669,10
020010702,770,10
020010703,261,9
020010704,560,8
020010705,403,9
020010706,300,10
020010707,592,9
020010708,597,8
020010709,330,8
020010710,384,8
020010711,213,9
020010712,507,8
020010713,1425,10
020010801,352,8
020010802,1324,7
020010803,1104,9
020010804,592,8
020010805,589,9
020010806,1144,9
020010807,1334,9
020010808,446,9
020010809,691,9
020010810,445,8
020010901,292,9
020010902,388,4
020010903,449,8
020010904,256,5
020010905,409,3
020010906,354,5
020010907,588,8
020010908,261,6
020010909,628,8
020010910,369,9
020010911,422,10
020010912,378,10
020010913,590,10
020010914,253,6
020010915,238,6
020010916,997,3
020010917,360,7
020010918,395,9
020010919,119,8
020011001,318,7
020011002,504,9
020011003,980,7
020011004,427,10
020011005,507,9
020011006,541,9
020011007,312,6
020011008,279,7
020011009,341,6
020011010,680,7
020011011,612,9
020011012,584,7
020011013,678,8
020011014,218,7
020011101,512,5
020011102,428,7
020011103,354,2
020011104,667,7
020011105,529,5
020011106,447,8
020011107,525,7
020011108,817,8
020011109,455,8
020011110,621,7
020011111,266,4
020011112,933,6
020011113,666,6
020011114,774,6
020011201,341,3
020011202,229,7
020011203,723,5
020011204,393,2
020011205,600,7
020011206,472,2
020011207,786,3
020011208,329,6
020011209,1356,8
020011210,296,8
020011211,528,10
020011212,499,8
020011301,586,10
020011302,128,10
020011303,45,10
020011304,725,10
020011305,295,10
020011306,192,10
020011307,505,10
020011308,308,10
020011309,426,10
020011310,614,10
020011311,292,10
020011312,292,10
020011313,358,10
020011314,1960,1
020011315,0,NA
