eph_aglome,localidade,decil_NSE,poblacion,tasa_acceso,total_ha_accesibles,m2_accesibles_per_capita
Bahia Blanca - Cerri,Bahía Blanca,1,39156,0.8242670344263969,208.00674607399247,53.1225728046768
Bahia Blanca - Cerri,Bahía Blanca,2,36259,0.9190270001930555,193.56528580013375,53.384066245658666
Bahia Blanca - Cerri,Bahía Blanca,3,32173,1,370.3209439751504,115.10301929417537
Bahia Blanca - Cerri,Bahía Blanca,4,34060,0.9751614797416324,490.12030811839327,143.8990922250127
Bahia Blanca - Cerri,Bahía Blanca,5,29738,0.9746788620620082,540.8439334044812,181.86963931820603
Bahia Blanca - Cerri,Bahía Blanca,6,26019,0.8973442484338369,971.0379619228167,373.2034136295848
Bahia Blanca - Cerri,Bahía Blanca,7,27711,0.9294143120060626,1062.2228457567323,383.32172991113003
Bahia Blanca - Cerri,Bahía Blanca,8,24477,0.8937369775707807,974.8047197452885,398.2533479369566
Bahia Blanca - Cerri,Bahía Blanca,9,18395,1,1175.5114885622133,639.0385912270798
Bahia Blanca - Cerri,Bahía Blanca,10,21850,0.9437986270022883,2556.7800844302633,1170.1510683891365
Bahia Blanca - Cerri,General Daniel Cerri,1,609,0,0,0
Bahia Blanca - Cerri,General Daniel Cerri,2,4108,1,5.5552834622975436,13.523085351259843
Bahia Blanca - Cerri,General Daniel Cerri,3,2028,1,3.4295518190166914,16.911005024737136
CABA,CABA Comuna 01,1,43265,0.8686004853807928,750.1236012338022,173.37885155063037
CABA,CABA Comuna 01,2,24387,0.9664575388526674,292.2356313180056,119.83254656907596
CABA,CABA Comuna 01,3,17300,0.8747398843930636,126.10315532826614,72.8919972995758
CABA,CABA Comuna 01,4,19143,0.8953142140730294,145.4443686731164,75.97783454689254
CABA,CABA Comuna 01,5,12845,0.970883612300506,161.73769214958506,125.9149024130674
CABA,CABA Comuna 01,6,18745,1,275.41747619215204,146.9285015695663
CABA,CABA Comuna 01,7,13782,1,196.27928960006923,142.41713075030418
CABA,CABA Comuna 01,8,17845,0.9839170636032503,303.02344999589843,169.80860184695905
CABA,CABA Comuna 01,9,16758,1,311.28012463265014,185.75016388151937
CABA,CABA Comuna 01,10,20471,1,4698.317968888349,2295.109163640442
CABA,CABA Comuna 01,NA,0,NA,360.16111354836033,Inf
CABA,CABA Comuna 02,1,623,0.8314606741573034,19.821677033988102,318.1649604171445
CABA,CABA Comuna 02,5,2539,1,5.218138183592254,20.551942432423214
CABA,CABA Comuna 02,6,831,1,3.1399364300737913,37.78503525961241
CABA,CABA Comuna 02,7,4329,1,27.523032083611696,63.57826769141071
CABA,CABA Comuna 02,8,16160,1,165.11869652208432,102.17741121416108
CABA,CABA Comuna 02,9,52279,1,835.2890542381065,159.77525473672154
CABA,CABA Comuna 02,10,81171,1,1547.772026788904,190.68041871960477
CABA,CABA Comuna 03,1,3215,1,16.96552467056236,52.769905662713406
CABA,CABA Comuna 03,2,33460,1,184.3767089852739,55.1036189435965
CABA,CABA Comuna 03,3,46095,1,237.69526688012195,51.56638830244537
CABA,CABA Comuna 03,4,31623,1,178.4355834749619,56.42588732092524
CABA,CABA Comuna 03,5,24064,0.9800947473404256,120.90222186624106,50.24194725159619
CABA,CABA Comuna 03,6,21561,1,109.02587722157544,50.56624331968621
CABA,CABA Comuna 03,7,17957,1,87.27906108093495,48.60447796454583
CABA,CABA Comuna 03,8,6397,1,37.21972835931369,58.183098889031875
CABA,CABA Comuna 03,9,2724,1,20.65961763604324,75.84294286359486
CABA,CABA Comuna 03,10,441,1,4.141777613633149,93.91785971957253
CABA,CABA Comuna 04,1,92909,0.755093693829446,349.6029066385473,37.628529705254316
CABA,CABA Comuna 04,2,52048,0.9120619428220105,852.5358588898466,163.79800547376394
CABA,CABA Comuna 04,3,27764,0.9448926667627143,426.66764706452307,153.6765765251848
CABA,CABA Comuna 04,4,15205,1,262.6916805236864,172.7666428962094
CABA,CABA Comuna 04,5,17887,1,259.73689154405173,145.20986836476308
CABA,CABA Comuna 04,6,6128,1,114.01561057862588,186.05680577452006
CABA,CABA Comuna 04,7,3543,1,56.0926386454045,158.31961232120943
CABA,CABA Comuna 04,8,956,1,7.142338938695961,74.71065835456025
CABA,CABA Comuna 04,9,1805,1,32.502032720303376,180.0666632703788
CABA,CABA Comuna 05,1,369,1,2.4993903563449855,67.7341559985091
CABA,CABA Comuna 05,2,8627,0.6221166106410108,41.84882553298758,48.50912893588453
CABA,CABA Comuna 05,3,20242,0.5960873431479102,91.78841947150136,45.345528836825096
CABA,CABA Comuna 05,4,24085,0.6450072659331534,66.4176885948283,27.576370601963173
CABA,CABA Comuna 05,5,30703,0.6926033286649513,118.39483087566363,38.56132328295725
CABA,CABA Comuna 05,6,32552,0.8435733595478004,173.40622250419878,53.27052792584135
CABA,CABA Comuna 05,7,28842,0.9073573261216282,174.6888202666095,60.56751274759361
CABA,CABA Comuna 05,8,23687,0.8226875501329843,158.38818241314254,66.86713488966207
CABA,CABA Comuna 05,9,9898,0.8669428167306527,57.767521113565444,58.362821896913964
CABA,CABA Comuna 06,2,715,1,5.1464538475940005,71.97837549082519
CABA,CABA Comuna 06,3,1262,1,8.062722289748423,63.8884492056135
CABA,CABA Comuna 06,4,3657,0.7746786983866557,18.974240470113116,51.88471553216603
CABA,CABA Comuna 06,5,5847,0.8589020010261673,57.42037531390403,98.20484917719178
CABA,CABA Comuna 06,6,27832,0.9362604196608221,245.86446296213174,88.33876938852103
CABA,CABA Comuna 06,7,47614,0.9545721846515731,522.7242969141639,109.78373942835383
CABA,CABA Comuna 06,8,52314,0.9609664716901786,609.4944097584143,116.50694073449064
CABA,CABA Comuna 06,9,31929,1,425.89754304738364,133.3889389105151
CABA,CABA Comuna 06,10,4906,1,87.80859835610939,178.98205942949323
CABA,CABA Comuna 07,1,48675,0.2787673343605547,39.40535683322128,8.095604896398825
CABA,CABA Comuna 07,2,22035,0.8552756977535738,168.82731996188016,76.61779893890636
CABA,CABA Comuna 07,3,27891,0.8921874439783443,169.62785850101858,60.81813434477738
CABA,CABA Comuna 07,4,23994,0.7344752854880386,95.14708625629666,39.65453290668361
CABA,CABA Comuna 07,5,29510,1,317.49513424206975,107.58899838768883
CABA,CABA Comuna 07,6,28892,0.9431330472103004,365.6763842433084,126.56665659812695
CABA,CABA Comuna 07,7,17082,0.9199157007376185,174.9070558713492,102.3926096893509
CABA,CABA Comuna 07,8,17057,0.8996306501729495,206.2036274860821,120.89091134788187
CABA,CABA Comuna 07,9,5455,1,43.17408592178053,79.1458953653172
CABA,CABA Comuna 08,1,144369,0.8841995165167037,4575.8558165415,316.95556639870745
CABA,CABA Comuna 08,2,33041,0.8188614146060954,865.8465506496111,262.052162661424
CABA,CABA Comuna 08,3,4201,1,109.78771064726398,261.337087948736
CABA,CABA Comuna 08,4,4770,1,212.17623819213827,444.8139165453632
CABA,CABA Comuna 08,5,856,1,41.05306985894721,479.59193760452354
CABA,CABA Comuna 09,1,33994,0.8159675236806495,438.9769124937854,129.13364490609678
CABA,CABA Comuna 09,2,62679,0.8220616155331132,1033.4029061809276,164.87227080536186
CABA,CABA Comuna 09,3,38403,0.8943572116761711,502.94787717861493,130.96577798052624
CABA,CABA Comuna 09,4,15440,0.881541450777202,51.85353811322549,33.583897741726354
CABA,CABA Comuna 09,5,7639,1,66.41727800049799,86.9449901826129
CABA,CABA Comuna 09,6,2752,1,11.872518692718955,43.14141966831016
CABA,CABA Comuna 09,7,890,0,0,0
CABA,CABA Comuna 10,1,1100,1,1.7681039997227956,16.07367272475269
CABA,CABA Comuna 10,2,23753,0.7803224855807688,78.5390599137849,33.06490123933183
CABA,CABA Comuna 10,3,51068,0.8962168089606015,208.67052145679648,40.861306778569066
CABA,CABA Comuna 10,4,46207,0.9250762871426407,231.40285028422065,50.07960921163907
CABA,CABA Comuna 10,5,27706,0.8902042878798816,103.62759070233902,37.40258092194435
CABA,CABA Comuna 10,6,14244,0.8650659926986801,107.48376828043173,75.45897801209755
CABA,CABA Comuna 10,7,1944,1,8.117336131576693,41.75584429823401
CABA,CABA Comuna 11,1,2218,1,2.1752035851738256,9.807049527384246
CABA,CABA Comuna 11,2,7137,0.7074401008827238,26.52709846820243,37.168415956567785
CABA,CABA Comuna 11,3,22455,0.7140503228679581,50.190370979397294,22.351534615630058
CABA,CABA Comuna 11,4,38153,0.7887977354336487,97.75242953344501,25.621164661611147
CABA,CABA Comuna 11,5,43373,0.8318078067000207,135.47852290189311,31.235681853202017
CABA,CABA Comuna 11,6,37175,0.7286617350369872,140.60804306059552,37.82327990870088
CABA,CABA Comuna 11,7,24168,0.7258771929824561,108.28494561853101,44.805091699160464
CABA,CABA Comuna 11,8,10242,0.9015817223198594,69.39752384157345,67.75778543406898
CABA,CABA Comuna 11,9,4218,1,39.80700043976982,94.37411199566102
CABA,CABA Comuna 11,10,693,1,7.72965933770762,111.53909578221673
CABA,CABA Comuna 12,1,2740,1,39.91818580504414,145.68680950746037
CABA,CABA Comuna 12,2,1145,1,106.48264854605586,929.9794632843306
CABA,CABA Comuna 12,3,14734,1,799.6380486969383,542.7161997400151
CABA,CABA Comuna 12,4,27700,0.976028880866426,1616.1910009854391,583.4624552294005
CABA,CABA Comuna 12,5,32805,1,737.4747272392009,224.80558672129277
CABA,CABA Comuna 12,6,33631,0.9749041063304689,481.97161467950184,143.31171082617283
CABA,CABA Comuna 12,7,44638,0.9263183834401183,702.8318337385118,157.45146147643527
CABA,CABA Comuna 12,8,22036,0.8467053911780722,118.97150439540854,53.989609908971026
CABA,CABA Comuna 12,9,14849,0.8102229106337127,42.89811770784766,28.889566777458185
CABA,CABA Comuna 12,10,5838,0.8336759164097294,23.11054926861275,39.586415328216425
CABA,CABA Comuna 13,4,1011,1,3.99828148367585,39.547789156042036
CABA,CABA Comuna 13,5,2701,1,78.9074814128767,292.1417305178701
CABA,CABA Comuna 13,6,14615,1,102.75241297047737,70.30613272013504
CABA,CABA Comuna 13,7,25332,1,199.1565386670167,78.61856097703169
CABA,CABA Comuna 13,8,51575,1,272.80328341958415,52.8944805466959
CABA,CABA Comuna 13,9,72060,0.9790729947266167,287.7477463319031,39.93168836135208
CABA,CABA Comuna 13,10,64037,0.9833065259147056,523.2047768516632,81.70351154046304
CABA,CABA Comuna 14,4,4625,0.8492972972972973,31.13076002359129,67.30975140235954
CABA,CABA Comuna 14,5,416,1,1.896980754107151,45.60049889680651
CABA,CABA Comuna 14,6,8419,0.8213564556360613,17.041200624581183,20.241359573086093
CABA,CABA Comuna 14,7,21262,1,276.0886997423973,129.85076650474898
CABA,CABA Comuna 14,8,26653,1,279.27837497723146,104.78309195108675
CABA,CABA Comuna 14,9,58107,0.986335553375669,1608.4851433310296,276.8143499631765
CABA,CABA Comuna 14,10,106488,0.9186856735031177,4039.2986950044537,379.31961300845666
CABA,CABA Comuna 15,1,4085,0.7476132190942473,13.237391305487286,32.40487467683546
CABA,CABA Comuna 15,2,11942,0.8513649304974041,100.35096846831284,84.0319615376929
CABA,CABA Comuna 15,3,19861,0.6082271788933085,91.44052783479336,46.04024361048958
CABA,CABA Comuna 15,4,19664,0.6273901545972336,83.28674662428277,42.354936240990014
CABA,CABA Comuna 15,5,34283,0.5962430359070093,137.2309343598541,40.028858139560164
CABA,CABA Comuna 15,6,31922,0.7247979449909153,228.2083257791936,71.48935711396328
CABA,CABA Comuna 15,7,25909,0.8322204639314524,433.06771095871943,167.14952756135685
CABA,CABA Comuna 15,8,26938,0.7313089316207588,311.2307244214614,115.53594343361102
CABA,CABA Comuna 15,9,4780,0.6822175732217574,55.40059625610509,115.90082898766755
CABA,CABA Comuna 15,10,3190,1,10.195412912006532,31.960542043907623
Comodoro Rivadavia - Rada Tilly,Comodoro Rivadavia,1,21589,0.4597248598823475,10.54544267814448,4.884636934616926
Comodoro Rivadavia - Rada Tilly,Comodoro Rivadavia,2,19662,0.5802563320109857,22.673517156469288,11.531643350864249
Comodoro Rivadavia - Rada Tilly,Comodoro Rivadavia,3,20905,0.35977038985888543,13.871178505003197,6.635340112414828
Comodoro Rivadavia - Rada Tilly,Comodoro Rivadavia,4,20829,0.6265303183062076,25.66463915469181,12.321589684906527
Comodoro Rivadavia - Rada Tilly,Comodoro Rivadavia,5,19323,0.46519691559281684,14.568246119316115,7.539329358441296
Comodoro Rivadavia - Rada Tilly,Comodoro Rivadavia,6,22346,0.5551329096930099,22.912188268077234,10.253373430626167
Comodoro Rivadavia - Rada Tilly,Comodoro Rivadavia,7,16144,0.856788899900892,46.86682399922129,29.03049058425501
Comodoro Rivadavia - Rada Tilly,Comodoro Rivadavia,8,17807,0.7165159768630314,39.79272567520658,22.346675843885315
Comodoro Rivadavia - Rada Tilly,Comodoro Rivadavia,9,10143,0.6533569949719018,36.58371154495757,36.067940002915876
Comodoro Rivadavia - Rada Tilly,Comodoro Rivadavia,10,6448,0.8725186104218362,28.07120801082655,43.53475187783274
Comodoro Rivadavia - Rada Tilly,Rada Tilly,9,3629,0.6076054009368972,33.604265412133415,92.59924335115298
Comodoro Rivadavia - Rada Tilly,Rada Tilly,10,5469,0.545072225269702,49.40442870763792,90.33539716152481
Concordia,Concordia,1,19235,0.4270860410709644,102.38702231120368,53.2295411027833
Concordia,Concordia,2,23801,0.6621990672660812,68.62344249694877,28.832167764778273
Concordia,Concordia,3,18046,0.6299456943366951,43.797735133667764,24.270051609036773
Concordia,Concordia,4,17637,0.6250496116119522,242.6541200741951,137.58242335669053
Concordia,Concordia,5,15701,0.5762690274504808,188.28841497467948,119.92128843683808
Concordia,Concordia,6,15202,0.7544402052361532,167.78584064415776,110.3708989897104
Concordia,Concordia,7,12021,0.845437151651277,148.283054788874,123.35334397211048
Concordia,Concordia,8,9346,0.9522790498609031,321.9447240774392,344.4732763507802
Concordia,Concordia,9,9228,1,36.57095361614001,39.63042221081493
Concordia,Concordia,10,6124,1,150.3333714823783,245.48231790068306
Corrientes,Corrientes,1,48316,0.5638504843116152,39.9982049156098,8.278459499049962
Corrientes,Corrientes,2,41282,0.5735187248679812,57.283150582649874,13.876059925064162
Corrientes,Corrientes,3,44291,0.5531597841547944,45.780512809314054,10.336301462896312
Corrientes,Corrientes,4,38076,0.6487813845992226,50.34215797547447,13.221493322690007
Corrientes,Corrientes,5,36099,0.9716612648549822,54.481885309389604,15.092353059472453
Corrientes,Corrientes,6,32400,0.8203086419753086,54.922959785068784,16.951530797860737
Corrientes,Corrientes,7,31316,0.8174734959764977,39.10515842407918,12.487277565487028
Corrientes,Corrientes,8,27110,0.8192180007377352,65.74696939896035,24.251925267045497
Corrientes,Corrientes,9,23796,0.9043116490166414,174.38495072847718,73.28330422275894
Corrientes,Corrientes,10,21860,1,273.5102371231838,125.11904717437503
Formosa,Formosa,1,22830,0.39653964082347787,21.6152450653283,9.467912862605475
Formosa,Formosa,2,29587,0.826241254605063,69.0792792530538,23.347848464884507
Formosa,Formosa,3,25816,0.7341571118686087,55.04082869837141,21.320432560571515
Formosa,Formosa,4,23199,0.6066209750420277,56.313687185118006,24.274187329246093
Formosa,Formosa,5,24668,0.8255229447056915,75.02659543370464,30.414543308620335
Formosa,Formosa,6,22434,0.8786663100650798,123.67279153172673,55.12739214216222
Formosa,Formosa,7,21032,0.9090909090909091,151.75653326157874,72.15506526320785
Formosa,Formosa,8,18125,0.938096551724138,131.7247617160227,72.67573060194356
Formosa,Formosa,9,17539,0.8987969667597925,212.42037158929134,121.11316015125796
Formosa,Formosa,10,14930,1,261.8798108715261,175.40509770363437
Formosa,Formosa,NA,0,NA,3.794437101588026,Inf
Gran Catamarca,San Fernando del Valle de Catamarca,1,25277,0.8321003283617517,251.13223513334793,99.35207308357319
Gran Catamarca,San Fernando del Valle de Catamarca,2,15896,0.8778938097634625,240.74219719686553,151.4482871142838
Gran Catamarca,San Fernando del Valle de Catamarca,3,10974,1,21.501729407680838,19.59333826105416
Gran Catamarca,San Fernando del Valle de Catamarca,4,15371,0.9309739119120422,109.2845230293338,71.09786157656222
Gran Catamarca,San Fernando del Valle de Catamarca,5,13991,0.8539060824815953,44.834912394894644,32.04553812800704
Gran Catamarca,San Fernando del Valle de Catamarca,6,10351,0.8987537435996522,18.15857247883043,17.54281951389279
Gran Catamarca,San Fernando del Valle de Catamarca,7,13946,0.8366556718772408,181.41722961018257,130.0854937689535
Gran Catamarca,San Fernando del Valle de Catamarca,8,13254,0.8534027463407273,116.61858498669987,87.98746415172769
Gran Catamarca,San Fernando del Valle de Catamarca,9,15705,0.872906717605858,129.25898108169682,82.30434962222019
Gran Catamarca,San Fernando del Valle de Catamarca,10,11165,1,75.99030506929088,68.06117784979031
Gran Catamarca,San Isidro,2,5926,0.19692878839014513,1.2969724780729972,2.1886136990769445
Gran Catamarca,San Isidro,3,4286,0,0,0
Gran Catamarca,San Isidro,4,1378,0,0,0
Gran Catamarca,San Isidro,5,3242,0,0,0
Gran Catamarca,San Isidro,6,6822,0.11521547933157432,2.1083229922184255,3.0904763884761444
Gran Catamarca,San Isidro,7,3343,0,0,0
Gran Catamarca,San Isidro,8,677,0,0,0
Gran Catamarca,San José,2,598,0,0,0
Gran Catamarca,San José,3,3790,0,0,0
Gran Catamarca,San José,4,2746,0,0,0
Gran Catamarca,San José,5,1634,1,1.86714566302225,11.426840042975826
Gran Catamarca,San José,6,1474,0.4728629579375848,0.6565872178196558,4.454458736904042
Gran Córdoba,Agua de Oro,4,950,0.5873684210526315,0.5804856604920701,6.110375373600738
Gran Córdoba,Agua de Oro,5,445,0,0,0
Gran Córdoba,Agua de Oro,6,289,0,0,0
Gran Córdoba,Agua de Oro,7,234,1,0.5804856604920701,24.807079508208123
Gran Córdoba,Córdoba,1,194624,0.7399498520223611,1844.279004782897,94.76112939734548
Gran Córdoba,Córdoba,2,166203,0.7830785244550339,1815.9505093519688,109.26099464822951
Gran Córdoba,Córdoba,3,149227,0.8563731764358997,2148.153781256728,143.95208516265342
Gran Córdoba,Córdoba,4,134438,0.9425534447105729,2814.93946993341,209.38569972280231
Gran Córdoba,Córdoba,5,110374,0.8851994129052132,2459.415551088736,222.82562479286207
Gran Córdoba,Córdoba,6,122726,0.9433534866287502,3391.4238104380993,276.3411021656454
Gran Córdoba,Córdoba,7,116910,0.9172696946369002,5647.944179197966,483.10188856367853
Gran Córdoba,Córdoba,8,104097,0.9596145902379511,7882.106680196807,757.1886490673897
Gran Córdoba,Córdoba,9,98790,0.8888349023180484,10060.696952088447,1018.3922413289247
Gran Córdoba,Córdoba,10,99536,0.8987502009323259,11667.461511365376,1172.1850899539238
Gran Córdoba,El Manzano,1,531,0,0,0
Gran Córdoba,El Manzano,2,361,0,0,0
Gran Córdoba,La Calera,1,4576,0.37521853146853146,8.37029285961995,18.29172390651213
Gran Córdoba,La Calera,2,9209,0.46726028884786625,11.16241951030197,12.12120698262783
Gran Córdoba,La Calera,3,5805,0.8744186046511628,19.336282408873807,33.30970268539846
Gran Córdoba,La Calera,4,4012,0.9202392821535393,24.517438364082622,61.11026511486197
Gran Córdoba,La Calera,5,3007,1,16.578362965829506,55.13256722923015
Gran Córdoba,La Calera,6,1528,1,3.637361600229144,23.80472251458864
Gran Córdoba,La Calera,7,1773,0.8967851099830795,5.30467025601156,29.919177980888666
Gran Córdoba,La Calera,9,537,1,7.939075398253113,147.84125508851236
Gran Córdoba,La Calera,10,1525,0.3777049180327869,7.939075398253113,52.059510808217134
Gran Córdoba,La Granja,3,544,0,0,0
Gran Córdoba,La Granja,4,453,0,0,0
Gran Córdoba,La Granja,5,1459,0.7422892392049348,7.582444822151587,51.970149569236376
Gran Córdoba,Mendiolaza,5,1087,0,0,0
Gran Córdoba,Mendiolaza,7,2451,0.6727866177070584,2.43057263493957,9.916657017297306
Gran Córdoba,Mendiolaza,8,2933,0.7258779406750767,6.814446186567028,23.233706739062487
Gran Córdoba,Mendiolaza,9,2656,1,1.7795246536640452,6.700017521325472
Gran Córdoba,Mendiolaza,10,1144,0,0,0
Gran Córdoba,Parque Norte - Ciudad de los Niños - Villa Pastora - Almirante Brown - Guiñazú Norte - 1 de Agosto,1,3740,0.509090909090909,6.364762540530413,17.01808165917223
Gran Córdoba,Parque Norte - Ciudad de los Niños - Villa Pastora - Almirante Brown - Guiñazú Norte - 1 de Agosto,2,197,1,3.1823812702652066,161.54219646016276
Gran Córdoba,Parque Norte - Ciudad de los Niños - Villa Pastora - Almirante Brown - Guiñazú Norte - 1 de Agosto,3,1773,0,0,0
Gran Córdoba,Río Ceballos,2,812,0,0,0
Gran Córdoba,Río Ceballos,3,5155,0,0,0
Gran Córdoba,Río Ceballos,4,2486,0,0,0
Gran Córdoba,Río Ceballos,5,6317,0,0,0
Gran Córdoba,Río Ceballos,6,3623,0,0,0
Gran Córdoba,Río Ceballos,7,824,0,0,0
Gran Córdoba,Río Ceballos,8,471,0,0,0
Gran Córdoba,Saldán,3,2572,0,0,0
Gran Córdoba,Saldán,4,3717,0.43260694108151737,3.0697464710224973,8.258666857741451
Gran Córdoba,Saldán,5,2233,1,1.325656221900694,5.936660196599615
Gran Córdoba,Saldán,6,2083,1,3.732574581972844,17.91922506948077
Gran Córdoba,Salsipuedes,1,614,0,0,0
Gran Córdoba,Salsipuedes,2,1972,0.29969574036511154,1.3589412950914352,6.891183037989022
Gran Córdoba,Salsipuedes,3,1487,1,3.7596208168953194,25.283260369168254
Gran Córdoba,Salsipuedes,4,2166,0.6181902123730378,9.095838793771689,41.99371557604658
Gran Córdoba,Salsipuedes,5,2971,0.7559744193874116,7.38102811951611,24.843581688038068
Gran Córdoba,Salsipuedes,6,402,1,3.304533651905414,82.2023296493884
Gran Córdoba,Unquillo,1,1246,0,0,0
Gran Córdoba,Unquillo,2,2991,0,0,0
Gran Córdoba,Unquillo,3,2131,0.3697794462693571,1.8260433532064315,8.568950507773025
Gran Córdoba,Unquillo,4,2740,0.27116788321167884,1.8260433532064315,6.6643918000234725
Gran Córdoba,Unquillo,5,6744,0,0,0
Gran Córdoba,Unquillo,6,1385,0,0,0
Gran Córdoba,Unquillo,7,849,0,0,0
Gran Córdoba,Villa Allende,1,1098,0,0,0
Gran Córdoba,Villa Allende,2,3004,0.6208388814913449,5.393881225997256,17.95566320238767
Gran Córdoba,Villa Allende,3,1059,1,1.2754570108005776,12.043975550524813
Gran Córdoba,Villa Allende,4,1782,0.49719416386083054,4.635573898292472,26.01332153923946
Gran Córdoba,Villa Allende,5,5673,0.6234796404019037,10.829684386419535,19.089872001444625
Gran Córdoba,Villa Allende,6,3837,0.783163930153766,8.51651761338847,22.195771731531064
Gran Córdoba,Villa Allende,7,3157,0.6613873930947102,8.423664758198848,26.682498442188304
Gran Córdoba,Villa Allende,8,3122,0.5458039718129404,3.097110079588984,9.92027571937535
Gran Córdoba,Villa Allende,9,610,1,2.457768082566373,40.29128004207169
Gran Córdoba,Villa Allende,10,2396,0,0,0
Gran La Plata,Berisso,1,14703,0.5026865265592056,12.866124624294788,8.750679877776498
Gran La Plata,Berisso,2,20789,0.42503246909423253,22.030778136808006,10.59732461244312
Gran La Plata,Berisso,3,19835,0.47577514494580286,19.590169627019158,9.876566487027555
Gran La Plata,Berisso,4,16434,0.6346598515273214,39.616121875871954,24.1061956163271
Gran La Plata,Berisso,5,9139,0.949338001969581,65.52876402977515,71.70233508017851
Gran La Plata,Berisso,6,2696,0.8601632047477745,73.03265209476938,270.8926264642781
Gran La Plata,Berisso,7,448,1,30.711032927045135,685.5141278358288
Gran La Plata,Ensenada,1,11905,0.4872742545149097,365.2291089999302,306.78631583362466
Gran La Plata,Ensenada,2,13047,0.45604353491224037,185.14999344579007,141.9100126050357
Gran La Plata,Ensenada,3,12270,0.5220863895680522,186.73027849596065,152.18441605212766
Gran La Plata,Ensenada,4,9346,1,596.936793860232,638.7083178474556
Gran La Plata,Ensenada,5,6155,0.829731925264013,11.301452272232039,18.361417176656442
Gran La Plata,Ensenada,6,969,1,0.8892115859001875,9.176590153768704
Gran La Plata,Ensenada,7,357,0,0,0
Gran La Plata,Ensenada,8,723,0,0,0
Gran La Plata,La Plata,1,84569,0.26538093154702075,32.986296625829254,3.900518703760155
Gran La Plata,La Plata,2,74180,0.41770018873011594,104.77884614669598,14.12494555765651
Gran La Plata,La Plata,3,63860,0.3528186658315064,197.00600766309017,30.849672355635793
Gran La Plata,La Plata,4,63283,0.4534077082312785,83.33609083345023,13.168795858832581
Gran La Plata,La Plata,5,63540,0.3730248662259994,170.9849309963358,26.909809725580075
Gran La Plata,La Plata,6,66363,0.5234844717689073,431.89845359308964,65.08121296401453
Gran La Plata,La Plata,7,65574,0.7750022874919937,1040.0892949789516,158.61306233857192
Gran La Plata,La Plata,8,59602,0.766014563269689,1162.8333260109566,195.09971578318792
Gran La Plata,La Plata,9,52843,0.90672369093352,1097.0114327907415,207.59825005975088
Gran La Plata,La Plata,10,44869,0.9583231184113753,1316.26614252313,293.3575837489425
Gran La Plata,Ruta Sol,1,1535,0,0,0
Gran La Plata,Ruta Sol,2,343,0,0,0
Gran Mendoza,Godoy Cruz,1,24175,0.5176421923474664,947.2972295944513,391.8499398529271
Gran Mendoza,Godoy Cruz,2,19608,0.5298347613219094,36.367946350723486,18.547504258834905
Gran Mendoza,Godoy Cruz,3,15520,0.46836340206185567,122.35633200008489,78.83784278355985
Gran Mendoza,Godoy Cruz,4,16286,0.46303573621515415,482.2432755663288,296.10909711797177
Gran Mendoza,Godoy Cruz,5,23359,0.6240421250909713,1474.4832976090124,631.227063491165
Gran Mendoza,Godoy Cruz,6,18337,0.5871734743960298,958.6066477143594,522.7717989389537
Gran Mendoza,Godoy Cruz,7,24811,0.7034379912135746,534.0976019936012,215.26645519874296
Gran Mendoza,Godoy Cruz,8,22440,0.6730837789661319,586.7653329715129,261.48187743828555
